zip_code,cluster,cluster_label
12986,1,Gentrifying
12987,0,Emerging
12989,0,Emerging
12992,1,Gentrifying
12993,0,Emerging
12996,0,Emerging
12997,0,Emerging
12998,1,Gentrifying
13021,1,Gentrifying
13026,0,Emerging
13027,1,Gentrifying
13028,0,Emerging
13029,1,Gentrifying
13030,1,Gentrifying
13031,1,Gentrifying
13032,1,Gentrifying
13033,1,Gentrifying
13034,1,Gentrifying
13035,1,Gentrifying
13036,1,Gentrifying
13037,1,Gentrifying
13039,1,Gentrifying
13040,0,Emerging
13041,1,Gentrifying
13042,1,Gentrifying
13044,1,Gentrifying
13045,1,Gentrifying
13052,1,Gentrifying
13053,1,Gentrifying
13054,1,Gentrifying
13057,1,Gentrifying
13060,1,Gentrifying
13061,1,Gentrifying
13063,1,Gentrifying
13066,1,Gentrifying
13068,1,Gentrifying
13069,1,Gentrifying
13071,0,Emerging
13072,1,Gentrifying
13073,1,Gentrifying
13074,1,Gentrifying
13076,1,Gentrifying
13077,1,Gentrifying
13078,1,Gentrifying
13080,1,Gentrifying
13081,1,Gentrifying
13082,1,Gentrifying
13083,1,Gentrifying
13084,1,Gentrifying
13088,1,Gentrifying
13090,1,Gentrifying
13092,1,Gentrifying
13101,0,Emerging
13104,1,Gentrifying
13108,1,Gentrifying
13110,1,Gentrifying
13112,1,Gentrifying
13114,1,Gentrifying
13116,0,Emerging
13118,1,Gentrifying
13120,1,Gentrifying
13122,1,Gentrifying
13126,1,Gentrifying
13131,1,Gentrifying
13132,1,Gentrifying
13135,1,Gentrifying
13136,1,Gentrifying
13140,1,Gentrifying
13141,1,Gentrifying
13142,1,Gentrifying
13143,1,Gentrifying
13144,1,Gentrifying
13145,1,Gentrifying
13146,1,Gentrifying
13147,1,Gentrifying
13148,1,Gentrifying
13152,1,Gentrifying
13155,2,Declining
13156,1,Gentrifying
13157,1,Gentrifying
13158,0,Emerging
13159,1,Gentrifying
13160,1,Gentrifying
13162,0,Emerging
13164,1,Gentrifying
13165,1,Gentrifying
13166,1,Gentrifying
13167,1,Gentrifying
13202,1,Gentrifying
13203,1,Gentrifying
13204,1,Gentrifying
13205,1,Gentrifying
13206,1,Gentrifying
13207,1,Gentrifying
13208,1,Gentrifying
13209,1,Gentrifying
13210,1,Gentrifying
13211,1,Gentrifying
13212,1,Gentrifying
13214,1,Gentrifying
13215,1,Gentrifying
13219,1,Gentrifying
13224,1,Gentrifying
13302,1,Gentrifying
13303,1,Gentrifying
13304,1,Gentrifying
13308,1,Gentrifying
13309,1,Gentrifying
13313,1,Gentrifying
13315,0,Emerging
13316,1,Gentrifying
13317,1,Gentrifying
13318,1,Gentrifying
13319,1,Gentrifying
13320,1,Gentrifying
13321,1,Gentrifying
13322,1,Gentrifying
13323,1,Gentrifying
13324,0,Emerging
13325,0,Emerging
13326,0,Emerging
13327,1,Gentrifying
13328,0,Emerging
13329,0,Emerging
13331,1,Gentrifying
13332,1,Gentrifying
13334,1,Gentrifying
13335,1,Gentrifying
13337,0,Emerging
13338,1,Gentrifying
13339,2,Declining
13340,1,Gentrifying
13343,1,Gentrifying
13346,1,Gentrifying
13348,0,Emerging
13350,1,Gentrifying
13354,1,Gentrifying
13355,3,Stable
13357,1,Gentrifying
13360,1,Gentrifying
13361,0,Emerging
13363,1,Gentrifying
13365,1,Gentrifying
13367,1,Gentrifying
13368,1,Gentrifying
13402,1,Gentrifying
13403,1,Gentrifying
13406,1,Gentrifying
13407,1,Gentrifying
13408,1,Gentrifying
13409,1,Gentrifying
13410,1,Gentrifying
13411,1,Gentrifying
13413,1,Gentrifying
13416,1,Gentrifying
13417,1,Gentrifying
13420,0,Emerging
13421,1,Gentrifying
13424,1,Gentrifying
13425,1,Gentrifying
13428,0,Emerging
13431,1,Gentrifying
13433,1,Gentrifying
13437,1,Gentrifying
13438,1,Gentrifying
13439,0,Emerging
13440,1,Gentrifying
13450,0,Emerging
13452,1,Gentrifying
13454,1,Gentrifying
13456,1,Gentrifying
13459,1,Gentrifying
13460,1,Gentrifying
13461,1,Gentrifying
13464,1,Gentrifying
13468,3,Stable
13469,1,Gentrifying
13470,1,Gentrifying
13471,1,Gentrifying
13472,1,Gentrifying
13473,1,Gentrifying
13476,1,Gentrifying
13477,1,Gentrifying
13478,1,Gentrifying
13480,1,Gentrifying
13485,1,Gentrifying
13486,1,Gentrifying
13489,1,Gentrifying
13490,1,Gentrifying
13491,1,Gentrifying
13492,1,Gentrifying
13493,1,Gentrifying
13494,0,Emerging
13495,1,Gentrifying
13501,1,Gentrifying
13502,1,Gentrifying
13601,1,Gentrifying
13605,1,Gentrifying
13606,0,Emerging
13607,1,Gentrifying
13608,2,Declining
13612,0,Emerging
13613,1,Gentrifying
13615,1,Gentrifying
13617,1,Gentrifying
13618,1,Gentrifying
13619,1,Gentrifying
13620,1,Gentrifying
13621,1,Gentrifying
13622,1,Gentrifying
13624,0,Emerging
13625,1,Gentrifying
13626,1,Gentrifying
13630,0,Emerging
13634,1,Gentrifying
13635,2,Declining
13637,0,Emerging
13640,0,Emerging
13642,1,Gentrifying
13646,1,Gentrifying
13648,0,Emerging
13650,1,Gentrifying
13652,2,Declining
13654,1,Gentrifying
13656,2,Declining
13658,1,Gentrifying
13659,0,Emerging
13660,1,Gentrifying
13661,1,Gentrifying
13662,1,Gentrifying
13664,2,Declining
13665,1,Gentrifying
13667,2,Declining
13668,1,Gentrifying
13669,1,Gentrifying
13670,1,Gentrifying
13672,1,Gentrifying
13673,0,Emerging
13676,1,Gentrifying
13679,1,Gentrifying
13680,0,Emerging
13681,2,Declining
13684,1,Gentrifying
13685,1,Gentrifying
13687,1,Gentrifying
13690,1,Gentrifying
13691,1,Gentrifying
13693,1,Gentrifying
13694,1,Gentrifying
13697,1,Gentrifying
13730,1,Gentrifying
13731,1,Gentrifying
13732,1,Gentrifying
13733,1,Gentrifying
13734,1,Gentrifying
13736,1,Gentrifying
13739,0,Emerging
13740,3,Stable
13743,1,Gentrifying
13744,1,Gentrifying
13746,1,Gentrifying
13748,1,Gentrifying
13750,1,Gentrifying
13752,0,Emerging
13753,0,Emerging
13754,1,Gentrifying
13757,1,Gentrifying
13760,1,Gentrifying
13775,0,Emerging
13776,2,Declining
13777,1,Gentrifying
13778,1,Gentrifying
13780,1,Gentrifying
13782,0,Emerging
13783,1,Gentrifying
13786,0,Emerging
13787,0,Emerging
13788,0,Emerging
13790,1,Gentrifying
13795,1,Gentrifying
13796,1,Gentrifying
13797,1,Gentrifying
13801,1,Gentrifying
13802,1,Gentrifying
13803,1,Gentrifying
13804,1,Gentrifying
13807,1,Gentrifying
13808,2,Declining
13809,2,Declining
13810,0,Emerging
13811,1,Gentrifying
13812,1,Gentrifying
13813,1,Gentrifying
13815,1,Gentrifying
13820,1,Gentrifying
13825,1,Gentrifying
13827,1,Gentrifying
13830,1,Gentrifying
13832,1,Gentrifying
13833,1,Gentrifying
13835,1,Gentrifying
13838,1,Gentrifying
13839,0,Emerging
13841,1,Gentrifying
13842,0,Emerging
13843,0,Emerging
13844,1,Gentrifying
13849,2,Declining
13850,1,Gentrifying
13856,1,Gentrifying
13861,1,Gentrifying
13862,1,Gentrifying
13863,1,Gentrifying
13864,1,Gentrifying
13865,1,Gentrifying
13901,1,Gentrifying
13903,1,Gentrifying
13904,1,Gentrifying
13905,1,Gentrifying
