zip_code,median_price,median_price_sqft,listing_count,median_house_size,zhvi_current,growth_1yr,growth_5yr,log_median_price,price_to_zhvi
10467,261250.0,269.74692,80,975.0,423600.2485579637,0.09017418942428067,-0.11348831540495256,12.473237,0.6167371263103771
10468,238000.0,260.76923,58,907.5,264783.5453534298,0.014653047384828293,-0.12732249648884786,12.38003,0.8988473950763086
10469,710000.0,380.9524,85,1782.0,691911.532162587,0.08624867527674054,0.24436520840153178,13.4730215,1.0261427465746624
10470,575000.0,288.60825,24,1426.0,657854.0752008584,0.11050911813371204,0.14993289591927253,13.262127,0.874054021516001
10471,424900.0,353.63635,141,1100.0,432959.1956442031,0.028087193444147188,0.01061002368923154,12.959612,0.9813857847915396
10472,899000.0,362.12122,27,2508.0,693423.6340047662,0.05963808096508519,0.15741695260376118,13.70904,1.296465761929627
10473,549000.0,378.198,57,1418.0,558714.0504698772,0.04130104788626837,0.19257787003729437,13.215856,0.9826135561443144
10501,984500.0,343.8465,2,2795.5,826968.4671912644,0.019044948384160525,0.3589858349979169,13.7998905,1.1904927927225322
10502,1.285e+06,440.4762,9,2584.0,1005427.7005034558,0.07290133407212841,0.26246727862197206,14.06627,1.2780630565047608
10504,2.422e+06,460.7163,28,5536.5,1648588.8340260724,0.05930537726855666,0.3051573060108931,14.700105,1.4691352689106567
10506,899000.0,424.0566,9,2258.0,1561127.6256605403,0.07807991589766008,0.4048245579049517,13.70904,0.5758657942009177
10507,2.395e+06,440.50027,7,5370.0,793491.5259574129,0.08141918730721316,0.4032824763161392,14.688894,3.0183057054204014
10509,599000.0,230.24112,50,2693.5,518634.1062663134,0.03566002336107139,0.3606806076265263,13.303019,1.1549568236309156
10510,855000.0,347.6421,21,3200.0,1101491.3486662265,0.06840657555000836,0.4399320368508954,13.658858,0.776220349833253
10511,399000.0,347.22223,5,1197.0,577522.8160503876,0.011300858207315804,0.05053305712067017,12.896719,0.6908817953353174
10512,424500.0,251.16823,63,1745.0,498018.9921838035,0.034954161267867344,0.4069674114702589,12.95867,0.8523771315197756
10514,1.599e+06,437.93262,13,3699.0,1443746.773948444,0.09714253352676068,0.5035943807852165,14.284889,1.1075349423132979
10516,725000.0,314.15344,19,2602.0,706589.7244085638,0.02736485771850143,0.33320729886140316,13.493928,1.0260551136755436
10520,739000.0,305.08475,13,1686.0,811444.4461512038,0.05907611242395615,0.22926066293187575,13.513055,0.9107216193359655
10522,650000.0,427.46915,17,1545.0,969149.2069305852,0.08550695424968227,0.3247605637087548,13.384729,0.6706913603722898
10523,599000.0,304.26886,15,1942.0,678807.154942213,0.06023340312648226,0.29344467788690504,13.303019,0.8824302979702578
10524,775000.0,323.70282,13,2594.0,732188.4884477858,0.058945313032390936,0.4080356196390593,13.560619,1.0584706154599248
10526,714499.5,328.17172,6,2075.0,702218.9649657658,0.0014433131396892104,0.11081510181084324,13.479339,1.017488184806904
10527,749900.0,291.47195,3,2388.0,873184.1144023685,0.03358628231224585,0.40510010052669077,13.527697,0.8588108597386158
10528,1.597e+06,495.35074,26,3924.5,1411133.6964805322,0.08464050639449024,0.46786996673188375,14.283638,1.1317141699493334
10530,257250.0,246.08005,60,1100.0,717698.563680477,0.07513953173708231,0.4247967871005617,12.457808,0.35843739003848557
10532,769000.0,353.75,11,2240.0,783541.81302126,0.029068091821840142,0.2553511945503477,13.552848,0.9814409227694075
10533,1.0995e+06,381.49524,25,2914.0,1221207.917655599,0.1041197684054632,0.33647676559885503,13.910367,0.9003380866632059
10536,895000.0,293.06897,13,2900.0,1075535.2886163688,0.07819817547331172,0.3847883435110755,13.70458,0.8321437794490036
10537,469450.0,236.9469,10,1948.0,414142.58212348615,0.038518764319589095,0.4091995192622708,13.0593195,1.1335468031153162
