zip_code,zhvi_current,zhvi_1yr_ago,growth_1yr,growth_5yr
94558,907918.3135961426,939418.9062783084,-0.033531997782503174,0.13782301686970286
94538,1350094.180638305,1410750.606299159,-0.042995852980687206,0.2819053559157994
37075,515376.2738801882,514722.43487195537,0.0012702749364236735,0.32385926324793524
91766,687483.5196609688,696508.2835579751,-0.012957152283825052,0.2867871322499201
92805,861754.7786032604,857990.5612420142,0.00438724798533589,0.3338766802086104
78254,308184.1964322752,315786.48538813513,-0.02407414283900065,0.183273495165977
60641,398592.2818409598,375305.1276362199,0.06204859057324669,0.2496941955582221
78046,192569.76462328463,188194.09054699776,0.02325085800286664,0.18787996593745304
33012,383791.03915297147,399351.77184500935,-0.03896497721832343,0.43111917980393816
33015,396287.7203039049,413699.79118683655,-0.04208866248875611,0.40841804175223323
90631,942835.611437878,946839.2686819576,-0.004228444443007628,0.3176596573681036
80134,680797.7765751501,700728.6931030378,-0.02844312888006282,0.18314971258946589
33186,522075.1790671249,538676.4567497469,-0.030818643500386877,0.45747367439805725
30281,290730.34704972577,302584.73442024365,-0.0391770833820518,0.3106522381772499
28078,541647.1098328942,538485.3184009184,0.005871639065973077,0.4610328499245242
60640,344532.06245105574,340696.01243267226,0.011259450884067962,0.22264019411614955
32218,294274.997518297,300925.47642344417,-0.02210008598869516,0.28259238116682367
85032,454543.29885399615,459014.895698077,-0.009741724911302414,0.28178555863226873
33647,466223.0839116921,488069.9789111088,-0.04476180864096058,0.37834823781934185
10977,879583.1063772856,849288.5665770471,0.035670490564045684,0.6029354981300252
17603,307345.3278651908,298263.67866079,0.030448391319980915,0.39780113279279616
11210,914310.8009639042,843812.2395214062,0.08354768767336605,0.18695008410877817
02301,513429.50322281104,505202.27895119134,0.016285010211552396,0.30480710081232437
87114,375659.6056662995,372397.4974207702,0.008759748033009766,0.3699527203942795
90026,1156366.416838483,1157757.6740381955,-0.0012016825549166384,0.03400231508632402
94587,1275378.8945829533,1358160.551329445,-0.0609513040748094,0.22773908963057451
32828,470432.3493572362,486217.1826496348,-0.032464573148935916,0.3767287153882026
85326,373707.79606580734,378890.45488032064,-0.013678515116329164,0.2805634116822463
92801,862481.3136417284,868588.1955645831,-0.0070308138586723645,0.3391903044668756
11372,429797.8684027711,454763.63404057734,-0.05489833348367205,-0.25880412802337854
34711,428225.395356746,448121.6522975744,-0.04439923141142113,0.3360673868481516
95624,641686.2161951745,661203.5268252356,-0.029517856209529493,0.20046567286408062
75067,360166.8605126086,382532.1910351331,-0.05846653182835108,0.22980286546445758
91402,707038.769041967,712243.3614467079,-0.007307323151695371,0.27478979634761297
11432,881133.667514997,842546.7439663181,0.045797961745160376,0.09714264147994268
89115,327150.3910978733,334211.22705322073,-0.02112686643594732,0.37055032503002316
10027,823383.5241589219,832765.9820781915,-0.011266620060362425,-0.1465613664427062
06902,585814.2336625312,556184.3640274617,0.053273467489291966,0.35867325999387967
10472,693423.6340047662,654396.6722800465,0.05963808096508519,0.15741695260376118
77036,166382.15809980637,176646.62096849413,-0.05810732643744415,0.13874852165842005
19111,293954.6069038157,287300.5486963942,0.023160617818566032,0.21704675146149924
78045,294596.4500141869,284587.62104364584,0.03516958655417435,0.19510727130714225
21234,301666.3957816381,299866.1000252,0.006003665490319894,0.21765122391989147
07087,567878.6765394284,530566.0157162612,0.07032614173901677,0.4274109836212558
95123,1410827.7685983395,1462713.7616087738,-0.03547241734662237,0.355522592017524
92114,743795.1791842905,757462.1079727133,-0.018043052773954963,0.3066189097970474
11746,771402.0538365246,740189.5721437376,0.042168226718446486,0.43435897466262435
94541,783166.5502394956,824776.3189533427,-0.05044976165980464,0.042228999981133046
23462,325457.10369089927,315242.7076473269,0.032401688590365574,0.3341375572145018
75068,405182.1263845521,437972.80842821905,-0.07486921884795762,0.2139230275183896
20011,622770.0340213056,645116.8071994217,-0.034639886806123975,-0.07965438545704055
32822,263038.6549638933,278410.7310935731,-0.05521366245223244,0.29309258538070054
32765,489541.7290758513,500112.4122029922,-0.02113661422754349,0.36017373169015976
